country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
Japan																																																																																																										428																																																																																														
Jersey																																																																																																																																																																																																								
Jordan																																																																																																										49.5																																																																																														
Kazakhstan																																																																																																										71.5				175.9																																																																																										
Kenya																																																																																																										8																																																																																														
Kiribati																																																																																																										52.7																																																																																														
Korea, Dem. People's Rep. of																																																																																																										14																																																																																														
Korea																																																																																																										204.6																																																																																														
Kuwait																																																																																																										368.2																																																																																														
Kyrgyz Republic																																																																																																43.4						38.5	38.5	37.9	38.8	38	42.4	44.1	6.3																																																																																											
Lao People's Democratic Republic																																																																																																										6.1																																																																																														
Latvia																																																																																																133.6						248.9	264.7	279.6	296.7	266	359.3	397.6	411.6																																																																																											
Lebanon																																																																																																										300.9																																																																																														
Lesotho																																																																																																										7.8																																																																																														
Liberia																																																																																																										7.3																																																																																														
Libyan Arab Jamahiriya																																																																																																										167.1																																																																																														
Liechtenstein																																																																																																										463.6																																																																																														
Lithuania																																																																																																198						325.6	34.5	363.9	383.3	346	469.1	47.4	497.6	57.7																																																																																										
Luxembourg																																																																																																566.9						636.4	643.2	648.8	652.7	576	666.5	67.8	671.2																																																																																											
Macao																																																																																																										118																																																																																														
Macedonia																																																																																																										150																																																																																														
Madagascar																																																																																																										7.7																																																																																														
Malawi																																																																																																										2.9																																																																																														
Malaysia																																																																																																										139.4																																																																																														
Maldives																																																																																																										4.5																																																																																														
Mali																																																																																																										2.7																																																																																														
Malta																																																																																																488.2						497.2	59.9	57.2	51.8	505	653.3	669.3		568.5																																																																																										
Marshall Islands																																																																																																										52.7																																																																																														
Martinique																																																																																																																																																																																																								
Mauritania																																																																																																										8																																																																																														
Mauritius																																																																																																										86																																																																																														
Mayotte* qpp																																																																																																																																																																																																								
Mexico																																																																																																										107																																																																																														
Federated State of Micronesia																																																																																																										52.7																																																																																														
Republic of Moldova																																																																																																38.2						7.6	74.2	73.6	76.2	74.3	89.6	94.8																																																																																												
Monaco																																																																																																										463.6																																																																																														
Mongolia																																																																																																										25.5																																																																																														
Montserrat																																																																																																																																																																																																								
Morocco (includes Western Sahara)																																																																																																										43.8																																																																																														
Mozambique																																																																																																										4																																																																																														
Myanmar																																																																																																										0.6																																																																																														
Namibia																																																																																																										38.1																																																																																														
Nauru																																																																																																										52.7																																																																																														
Nepal																																																																																																										1																																																																																														
Netherlands																																																																																																366.4						418.2	424.5	425.8	429.4	384	442.4	451.2	458.6	461.2																																																																																										
Netherland Antilles																																																																																																										374																																																																																														
New Caledonia																																																																																																																																																																																																								
New Zealand																																																																																																										613																																																																																														
Nicaragua																																																																																																										15.6																																																																																														
Niger																																																																																																										4.8																																																																																														
Nigeria																																																																																																										12																																																																																														
Niue																																																																																																										52.7																																																																																														
Norfolk Island																																																																																																																																																																																																								
Northern Mariana Islands																																																																																																																																																																																																								
Norway																																																																																																386.5						414.9	418.6	423.6	43.8	417	447.1	457.6	46.8	464.7																																																																																										
Occupied Palestinian Territory																																																																																																										80.9																																																																																														
Oman																																																																																																										97.1																																																																																														
Pakistan																																																																																																										7																																																																																														
Palau																																																																																																										52.7																																																																																														
Panama																																																																																																										76.2																																																																																														
