country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
Israel																																																																																																47.5						54.2	53.5	52.8	52.9	53.6	53.7	53.5	52.8																																																																																											
Italy																																																																																																5.4						65.9	69.6	72.3		64.2				8.4																																																																																										
Jamaica																																																																																																										9																																																																																														
Japan																																																																																																										152.6																																																																																														
Jersey																																																																																																																																																																																																								
Jordan																																																																																																										18.3																																																																																														
Kazakhstan																																																																																																2.2						7.9	8.1	8.2		17.9																																																																																														
Kenya																																																																																																										3.1																																																																																														
Kiribati																																																																																																										28																																																																																														
Korea, Dem. People's Rep. of																																																																																																										8.6																																																																																														
Korea																																																																																																										87.8																																																																																														
Kuwait																																																																																																										106.1																																																																																														
Kyrgyz Republic																																																																																																										9.3																																																																																														
Lao People's Democratic Republic																																																																																																										2.5																																																																																														
Latvia																																																																																																34.4						47.3	48.8	49.9	51.3	48	57.7	61.8	62.9																																																																																											
Lebanon																																																																																																										21.3																																																																																														
Lesotho																																																																																																										12																																																																																														
Liberia																																																																																																										7.5																																																																																														
Libyan Arab Jamahiriya																																																																																																										73.5																																																																																														
Liechtenstein																																																																																																										51.4																																																																																														
Lithuania																																																																																																34.9						33.3	35	36.6	38	27	44.5	48.1	49	48																																																																																										
Luxembourg																																																																																																62.5							78.4	79.4	81.2	43	68	7.9	73.6																																																																																											
Macao																																																																																																										6																																																																																														
Macedonia																																																																																																12.8						14.1	13.2	12.6		13.7	9.4	9.2	9.5	1.2																																																																																										
Madagascar																																																																																																										10.6																																																																																														
Malawi																																																																																																										3.1																																																																																														
Malaysia																																																																																																										26.1																																																																																														
Maldives																																																																																																										4.9																																																																																														
Mali																																																																																																										1.9																																																																																														
Malta																																																																																																						114	113.6	117.9	116.6	111	114.4	117.2		11.4																																																																																										
Marshall Islands																																																																																																										28																																																																																														
Martinique																																																																																																																																																																																																								
Mauritania																																																																																																										4.5																																																																																														
Mauritius																																																																																																										31																																																																																														
Mayotte* qpp																																																																																																																																																																																																								
Mexico																																																																																																										51.8																																																																																														
Federated State of Micronesia																																																																																																										28																																																																																														
Republic of Moldova																																																																																																16.8						11.8	11.7	18.1		17.2	31.7	34.6																																																																																												
Monaco																																																																																																										51.4																																																																																														
Mongolia																																																																																																										15																																																																																														
Montserrat																																																																																																																																																																																																								
Morocco (includes Western Sahara)																																																																																																										10.6																																																																																														
Mozambique																																																																																																										1.3																																																																																														
Myanmar																																																																																																										1																																																																																														
Namibia																																																																																																										43.5																																																																																														
Nauru																																																																																																										28																																																																																														
Nepal																																																																																																										3																																																																																														
Netherlands																																																																																																41.3						59.4	61.5	62.9	64.3	44	61.6	62.4	63.8	62.2																																																																																										
