country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
Afghanistan																																																																																																										35.8																																																																																														
Albania																																																																																																										11.1																																																																																														
Algeria																																																																																																										7.2																																																																																														
American Samoa																																																																																																																																																																																																								
Andorra																																																																																																										63.9																																																																																														
Angola																																																																																																										8.1																																																																																														
Anguilla																																																																																																																																																																																																								
Antigua and Barbuda																																																																																																										20.8																																																																																														
Argentina																																																																																																										10.1																																																																																														
Armenia																																																																																																										2.2																																																																																														
Aruba																																																																																																																																																																																																								
Australia																																																																																																										17.5																																																																																														
Austria																																																																																																68.8						79.8	73.9	79.4	75.1	73.9	78.6	8.4	79.5	81.6																																																																																										
Azerbaijan																																																																																																										10.1																																																																																														
Bahamas																																																																																																										20																																																																																														
Bahrain																																																																																																										33.9																																																																																														
Bangladesh																																																																																																										1.1																																																																																														
Barbados																																																																																																										7.1																																																																																														
Belarus																																																																																																										53																																																																																														
Belgium																																																																																																										29.6																																																																																														
Belize																																																																																																										11.3																																																																																														
Benin																																																																																																										44.3																																																																																														
Bermuda																																																																																																																																																																																																								
Bhutan																																																																																																										8.3																																																																																														
Bolivia																																																																																																										12.7																																																																																														
Bosnia-Herzegovina																																																																																																288.7										24.8																																																																																														
Botswana																																																																																																										6.4																																																																																														
Brazil																																																																																																										28.5																																																																																														
British Virgin Islands																																																																																																																																																																																																								
Brunei Darussalam																																																																																																										33.3																																																																																														
Bulgaria																																																																																																61.8						66.6	67.4	68.5	17.7	28.1	9.9	11.7	14.2																																																																																											
Burkina Faso																																																																																																										10.3																																																																																														
Burundi																																																																																																										8.1																																																																																														
Cambodia																																																																																																										134.2																																																																																														
Cameroon																																																																																																										7.2																																																																																														
Canada																																																																																																1.9										11.1																																																																																														
Cape Verde																																																																																																										7.2																																																																																														
Cayman Islands																																																																																																																																																																																																								
Central African Republic																																																																																																										8.1																																																																																														
Chad																																																																																																										0.5																																																																																														
Chile																																																																																																										17.9																																																																																														
China																																																																																																										26.2																																																																																														
Colombia																																																																																																										11.5																																																																																														
Comoros																																																																																																										12.2																																																																																														
Congo, Democratic Republic																																																																																																										8.1																																																																																														
Congo																																																																																																										8.1																																																																																														
Cook Islands																																																																																																										73.1																																																																																														
Costa Rica																																																																																																										22																																																																																														
Ivory Coast																																																																																																										7.2																																																																																														
Croatia																																																																																																4.5						16.6	19.2	22.3	25.4	19.2	32.3	36.7	41.9																																																																																											
Cuba																																																																																																										16																																																																																														
Cyprus																																																																																																77.4						59.8	56.7	57.4	56	56.6	52.2	52.7	54.6																																																																																											
Czech Republic																																																																																																88.6						116.6	118	116.6	117.6	74.4	125.8	129.3	131.5																																																																																											
Denmark																																																																																																11.9						27.3	28.1	28.9	30	14.6	33.8	36.1	37.3																																																																																											
Djibouti																																																																																																										12.2																																																																																														
Commonwealth of Dominica																																																																																																										20.8																																																																																														
