country	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099
Dominican Republic																																																																																																										20.8																																																																																														
East Timor																																																																																																										73.1																																																																																														
Ecuador																																																																																																										18.6																																																																																														
Egypt																																																																																																										7																																																																																														
El Salvador																																																																																																										5																																																																																														
Equatorial Guinea																																																																																																										8.1																																																																																														
Eritrea																																																																																																										12.2																																																																																														
Estonia																																																																																																										53.5			13.2	13.9																																																																																										
Ethiopia																																																																																																										0.4																																																																																														
Faeroe Islands																																																																																																																																																																																																								
Falkland Islands																																																																																																																																																																																																								
Fiji																																																																																																										73.1																																																																																														
Finland																																																																																																31.1						43.2	44.6	47.1	52.3	42.8	64.2	71.9	79.2	85.4																																																																																										
France																																																																																																38.6						39.9	39.6	39.4	39.4	40	39.6																																																																																													
French Guiana																																																																																																																																																																																																								
French Polynesia																																																																																																																																																																																																								
Gabon																																																																																																										8.1																																																																																														
Gambia																																																																																																										7.2																																																																																														
Georgia																																																																																																										8.1																																																																																														
Germany																																																																																																48.9										55.6																																																																																														
Ghana																																																																																																										7.2																																																																																														
Gibraltar																																																																																																																																																																																																								
Greece																																																																																																						224.8	229.9	234.7		220																																																																																														
Greenland																																																																																																										20																																																																																														
Grenada																																																																																																										20.8																																																																																														
Guadeloupe																																																																																																																																																																																																								
Guam																																																																																																																																																																																																								
Guatemala																																																																																																										11.7																																																																																														
Guernsey																																																																																																																																																																																																								
Guinea																																																																																																										7.2																																																																																														
Guinea-Bissau																																																																																																										7.2																																																																																														
Guyana																																																																																																										20.8																																																																																														
Haiti																																																																																																										20.8																																																																																														
Honduras																																																																																																										14.2																																																																																														
Hong Kong																																																																																																										4.8																																																																																														
Hungary																																																																																																										10.4																																																																																														
Iceland																																																																																																7.3						8.6	8.9	9.5	1.6	8.8																																																																																														
India																																																																																																										35.4																																																																																														
Indonesia																																																																																																										59.4																																																																																														
Iran																																																																																																										42.8																																																																																														
Iraq																																																																																																										35.8																																																																																														
Ireland																																																																																																										8.1																																																																																														
Isle of Man																																																																																																																																																																																																								
Israel																																																																																																11.7						12.4	12.1			11.9	12.1	13.2	14.1																																																																																											
Italy																																																																																																116.9						144.5	15.3			124.6																																																																																														
Jamaica																																																																																																										20.8																																																																																														
Japan																																																																																																										106.3																																																																																														
Jersey																																																																																																																																																																																																								
Jordan																																																																																																										37																																																																																														
Kazakhstan																																																																																																						6.6	5.4	5.1		5.4																																																																																														
Kenya																																																																																																										1.5																																																																																														
Kiribati																																																																																																										73.1																																																																																														
Korea, Dem. People's Rep. of																																																																																																										27.2																																																																																														
Korea																																																																																																										58.7																																																																																														
Kuwait																																																																																																										35.8																																																																																														
Kyrgyz Republic																																																																																																						17.3	18.3			4.4	24.9	5.2	5.5																																																																																											
Lao People's Democratic Republic																																																																																																										48.1																																																																																														
Latvia																																																																																																									12.9	95	16.1	19.6	22.6																																																																																											
Lebanon																																																																																																										13.4																																																																																														
Lesotho																																																																																																										12.2																																																																																														
Liberia																																																																																																										7.2																																																																																														
Libyan Arab Jamahiriya																																																																																																										23																																																																																														
Liechtenstein																																																																																																										63.9																																																																																														
Lithuania																																																																																																										60.7		1.4	13.6	15.4																																																																																										
Luxembourg																																																																																																							71.7	73.7	8.8	26.9	82.5	83.3	81.9																																																																																											
Macao																																																																																																										6																																																																																														
Macedonia																																																																																																										15.5																																																																																														
Madagascar																																																																																																										12.2																																																																																														
Malawi																																																																																																										12.2																																																																																														
Malaysia																																																																																																										238.2																																																																																														
Maldives																																																																																																										22.6																																																																																														
Mali																																																																																																										7.2																																																																																														
Malta																																																																																																										33.5	6	53.2		35.2																																																																																										
Marshall Islands																																																																																																										73.1																																																																																														
Martinique																																																																																																																																																																																																								
Mauritania																																																																																																										7.2																																																																																														
Mauritius																																																																																																										104.1																																																																																														
Mayotte* qpp																																																																																																																																																																																																								
Mexico																																																																																																										30.9																																																																																														
Federated State of Micronesia																																																																																																										73.1																																																																																														
Republic of Moldova																																																																																																									4.4	21.8	5.3	5.3																																																																																												
Monaco																																																																																																										63.9																																																																																														
Mongolia																																																																																																										10.3																																																																																														
Montserrat																																																																																																																																																																																																								
Morocco (includes Western Sahara)																																																																																																										7.2																																																																																														
Mozambique																																																																																																										12.2																																																																																														
Myanmar																																																																																																										73.1																																																																																														
Namibia																																																																																																										9.7																																																																																														
Nauru																																																																																																										73.1																																																																																														
Nepal																																																																																																										29.2																																																																																														
Netherlands																																																																																																64.6										24.6			97.7																																																																																											
Netherland Antilles																																																																																																										70																																																																																														
New Caledonia																																																																																																																																																																																																								
New Zealand																																																																																																										20.9																																																																																														
Nicaragua																																																																																																										5.4																																																																																														
Niger																																																																																																										7.2																																																																																														
Nigeria																																																																																																										5																																																																																														
Niue																																																																																																										73.1																																																																																														
Norfolk Island																																																																																																																																																																																																								
Northern Mariana Islands																																																																																																																																																																																																								
Norway																																																																																																36.4						46.8	49.6	52.5	54.2	60.8	57.7	59.9	62.3																																																																																											
Occupied Palestinian Territory																																																																																																										35.8																																																																																														
Oman																																																																																																										27.5																																																																																														
Pakistan																																																																																																										10.8																																																																																														
Palau																																																																																																										73.1																																																																																														
Panama																																																																																																										30																																																																																														
Papua New Guinea																																																																																																										73.1																																																																																														
Paraguay																																																																																																										20.8																																																																																														
Peru																																																																																																										8.6																																																																																														
Philippines																																																																																																										18.5																																																																																														
Pitcairn																																																																																																																																																																																																								
Poland																																																																																																43.5						32.6	33	32.6	3.1	20.8	29.4	35.4	42.1																																																																																											
Portugal																																																																																																										55.2																																																																																														
Puerto Rico																																																																																																										20.8																																																																																														
Qatar																																																																																																										6.6																																																																																														
Reunion																																																																																																																																																																																																								
Romania																																																																																																14.4						12.5	1.6	1.8	1.8	12.4	2	2.6	3.3																																																																																											
Russia																																																																																																										43.5																																																																																														
Rwanda																																																																																																										8.1																																																																																														
Saint Kitts and Nevis																																																																																																										20.8																																																																																														
Saint Helena* qpp																																																																																																																																																																																																								
Saint Lucia																																																																																																																																																																																																								
Saint Pierre and Miquelon* qpp																																																																																																																																																																																																								
Western Samoa																																																																																																										73.1																																																																																														
San Marino																																																																																																										63.9																																																																																														
Sao Tome and Principe																																																																																																										8.1																																																																																														
Saudi Arabia																																																																																																										48																																																																																														
Senegal																																																																																																										4.9																																																																																														
Serbia and Montenegro																																																																																																										40																																																																																														
Seychelles																																																																																																										12.2																																																																																														
Sierra Leone																																																																																																										2.3																																																																																														
Singapore																																																																																																										42																																																																																														
Slovakia																																																																																																42.7										8.9																																																																																														
Slovenia																																																																																																4.5							25.3	21.3	2.5	25.5	26.5	35.3	4.6																																																																																											
Solomon Islands																																																																																																										73.1																																																																																														
Somalia																																																																																																										12.2																																																																																														
South Africa																																																																																																										35.3																																																																																														
Spain																																																																																																										80	1.8	15.7		18.2																																																																																										
Sri Lanka																																																																																																										48.6																																																																																														
Saint Vincent																																																																																																										20.8																																																																																														
Sudan																																																																																																										7.2																																																																																														
Suriname																																																																																																										71.2																																																																																														
Svalbard* qpp																																																																																																																																																																																																								
Swaziland																																																																																																										3.2																																																																																														
Sweden																																																																																																13.3						19.2	21.2	24.1	27.5	33.8	35.3	37.6	39.3	39.7																																																																																										
Switzerland																																																																																																1.8						12.5	13.4	14	14.3	102.1	14.7	14.4	15.1																																																																																											
Syrian Arab Republic																																																																																																										5.6																																																																																														
Taiwan																																																																																																										27.2																																																																																														
Tajikistan																																																																																																										35.8																																																																																														
United Rep. of Tanzania																																																																																																										12.2																																																																																														
Thailand																																																																																																										173.6																																																																																														
Togo																																																																																																										14.7																																																																																														
Tokelau* qpp																																																																																																																																																																																																								
Tonga																																																																																																										73.1																																																																																														
Trinidad and Tobago																																																																																																										20.8																																																																																														
Tunisia																																																																																																										5.7																																																																																														
Turkey																																																																																																									25.1	15	34.3	37.5	39.5	4.6																																																																																										
Turkmenistan																																																																																																										35.8																																																																																														
Turks and Caicos Islands																																																																																																																																																																																																								
Tuvalu																																																																																																										73.1																																																																																														
Uganda																																																																																																										2.7																																																																																														
Ukraine																																																																																																						42.4	36.4	28.7	24.2	27.5	17.6	15.4	14.1																																																																																											
United Arab Emirates																																																																																																										35.8																																																																																														
United Kingdom																																																																																																12.8						19.5	2.9	22.6	2.8	28.3	2.2	2.8	21.3	2.6																																																																																										
United States of America																																																																																																										17.2																																																																																														
Uruguay																																																																																																										101.3																																																																																														
Uzbekistan																																																																																																										35.8																																																																																														
Vanuatu																																																																																																										73.1																																																																																														
Venezuela																																																																																																										20.8																																																																																														
Viet Nam																																																																																																										45.3																																																																																														
Wallis and Futuna* qpp																																																																																																																																																																																																								
United States Virgin Islands																																																																																																																																																																																																								
Yemen																																																																																																										35.8																																																																																														
Zambia																																																																																																										8.1																																																																																														
Zimbabwe																																																																																																										32.8																																																																																														
